"Data Source","World Development Indicators",

"Last Updated Date","2019-10-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.5460014343262","61.4620018005371","61.2760009765625","61.1450004577637","61.0870018005371","60.9930000305176","60.9020004272461","60.8800010681152","60.8170013427734","60.882999420166","61.140998840332","61.3219985961914","61.6769981384277","62.1389999389648","62.4539985656738","62.2620010375977","62.435001373291","61.9609985351563","61.806999206543","61.851001739502","62.2809982299805","62.8139991760254","63.2130012512207","63.6650009155273","64.1729965209961","64.5110015869141","64.8580017089844","64.9390029907227",
"Angola","AGO","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.3720016479492","61.6539993286133","61.4199981689453","61.4179992675781","61.3440017700195","62.1669998168945","61.0690002441406","61.8580017089844","61.4930000305176","59.935001373291","59.7760009765625","59.2070007324219","59.1780014038086","59.3790016174316","61.7620010375977","63.9879989624023","66.3369979858398","68.3550033569336","69.5149993896484","70.7310028076172","72.1320037841797","72.1679992675781","72.0979995727539","72.1029968261719","72.1809997558594","72.1429977416992","72.1869964599609","72.0390014648438",
"Albania","ALB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.8450012207031","54.3489990234375","53.7099990844727","53.1839981079102","52.2949981689453","51.5369987487793","52.1580009460449","51.9119987487793","51.3269996643066","51.5989990234375","51.3199996948242","50.8660011291504","49.8190002441406","48.9080009460449","48.1319999694824","47.5410003662109","46.9939994812012","47.8660011291504","47.0769996643066","46.6259994506836","48.2039985656738","49.7599983215332","45.1399993896484","44.851001739502","46.8089981079102","47.7249984741211","48.4580001831055","48.2690010070801",
"Andorra","AND","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.6839285036652","42.355954711303","41.99961521461","42.1293892303254","41.9151098774905","42.0268689618995","42.0380092074365","41.7253706731362","41.9318497630826","41.6706492194901","41.4841428559276","41.2196562577934","41.3572130278014","41.9013914694492","42.0752796357029","42.5715367697459","43.1121431984337","43.3422322191196","43.6383795608076","44.0082964404717","43.6974640011234","43.7387642892339","43.9661624682626","43.7765496265854","43.4763162359201","43.4867659311921","43.4633586647891","43.4745333081656",
"United Arab Emirates","ARE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.9219970703125","72.3010025024414","72.8779983520508","73.3570022583008","73.8010025024414","73.306999206543","73.1019973754883","73.2649993896484","73.6480026245117","74.1709976196289","73.5970001220703","73.4749984741211","73.8450012207031","74.7170028686523","75.9449996948242","76.5640029907227","77.7490005493164","79.1039962768555","80.0970001220703","81.2580032348633","81.4860000610352","81.5899963378906","81.7480010986328","82.1149978637695","82.5930023193359","82.2770004272461","81.2929992675781","80.8820037841797",
"Argentina","ARG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.4819984436035","56.5779991149902","54.6609992980957","54.0009994506836","49.6059989929199","50.9770011901855","52.8740005493164","54.5190010070801","53.5719985961914","53.0009994506836","51.3870010375977","49.4440002441406","52.4109992980957","53.9339981079102","54.9109992980957","56.0540008544922","56.3769989013672","56.0880012512207","55.9420013427734","55.935001373291","56.4700012207031","56.3129997253418","56.1150016784668","55.5110015869141","55.5519981384277","55.5610008239746","55.5740013122559","54.757999420166",
"Armenia","ARM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.1640014648438","57.9109992980957","55.6360015869141","54.6049995422363","54.2350006103516","52.4070014953613","51.2360000610352","51.734001159668","50.4029998779297","50.0670013427734","49.7879981994629","49.5750007629395","49.5989990234375","49.5509986877441","49.826000213623","50.2439994812012","50.7210006713867","47.1220016479492","46.3800010681152","48.2249984741211","49.4140014648438","49.9070014953613","50.9249992370605","49.9059982299805","48.8730010986328","48.3339996337891","48.1879997253418","48.3889999389648",
"American Samoa","ASM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
